Using specified temperature=1.000000 and density=3.000000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.000, Temperature=  1.000
Density=  5.047 (gm/cm^3)  Temperature=119.400 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  2867026395487639040.00000 1911350929174175744.0000 526109118865890078235820032.0000 1726375421.8415 735196437240.6157 5734052808239098880.0000 1578327356597679030800482304.0000
      40  76489603.57043 50981497.4563 263054559814465575272316928.0000 17357.3860 367603072230.6067 153153061.8451 789163679443401158223200256.0000
      60  3220286.34099 2144183.1180 175369706542977347965943808.0000 4011.6641 245068751767.4883 6480879.4409 526109119628935067554807808.0000
      80  40.40831   16.5059 131570395889580213308227584.0000   15.6494 188407282506.9026  320.5990 394711187668742890487545856.0000
     100  17048174.47041 11365449.2143 105256316711664174082555904.0000    0.6490 150725826469.8658 34096435.0616 315768950134994326133932032.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  17561422.73876 11706265.7656 11512387.0171 2024.0903 1011.0416 35143250.1159 34549414.8273
      40  36512868.56011 24341917.3637 17923118.7686   -7.4855  521.2183 73025733.0200 53775712.0884
      60  822787282946.21570 548524855304.3541 103035277209.8201  -10.3154 77734.9932 1645574565858.7996 309106764671.5598
      80  822787283361.69946 548524855557.5900 214407671765.0894   25.3145 58303.2625 1645574567052.4250 643223715119.3311
     100  822787493016.49719 548524995351.4286 281231124894.6536  -10.6457 46640.5409 1645574985995.2314 843693934532.1990
     120  822787492982.28015 548524995328.6041 325780103300.3146  -10.6259 38865.3461 1645574985927.0276 977340776431.3210
     140  822787492982.40320 548524995328.3843 357600802161.4834  -10.1732 33311.6674 1645574985932.5933 1072802806359.6553
     160  822787499823.28589 548524999888.4956 381466326626.7893   -9.4575 29151.8332 1645574999621.8479 1144399329829.9890
     180  822787642709.20264 548525095146.5547 400028407758.6817  -10.6294 25930.9499 1645575285380.5962 1200085534569.7009
     200  822787642709.37659 548525095146.5248 414878076497.4675  -10.4106 23336.8029 1645575285383.8982 1244634509650.9556
     220  822787642709.47510 548525095146.7031 427027805465.5784  -10.5795 21214.3125 1645575285382.8149 1281083671081.0872
     240  822787642709.47510 548525095146.7686 437152579605.6758  -10.6777 19445.5659 1645575285381.1328 1311457972272.8015
     260  822787642709.48132 548525095146.7552 445719696185.7590  -10.6515 17948.9335 1645575285381.5137 1337159304050.3892
     280  822787642713.23999 548525095149.2524 453062938968.7870  -10.6387 16666.1924 1645575285389.7178 1359189017004.0464
     300  822787642713.26843 548525095149.1827 459427082714.1384  -10.5057 15554.4246 1645575285391.7947 1378281434896.7136
     320  822787642713.28809 548525095148.9685 464995708491.3228  -10.1646 14581.6263 1645575285395.3506 1394987300552.7444
     340  822787642713.29333 548525095149.2681 469909201824.1414  -10.6088 13723.2619 1645575285390.3235 1409727770249.1074
     360  822787642713.31995 548525095149.3326 474276751453.3165  -10.6790 12960.2676 1645575285389.1367 1422830409979.1479
     380  822787642713.28320 548525095149.1352 478184559016.2595  -10.4195 12277.5928 1645575285393.5369 1434553824474.5283
     400  822787642713.29468 548525095149.2471 481701585822.9066  -10.5761 11663.1875 1645575285391.1455 1445104897520.4014
     420  822819400240.60645 548546266477.0391 484884222946.6653  525.0478 11250.3300 1645638805830.2214 1454652803939.8511
     440  822819710734.15735 548546473829.3057 487777961623.1387   -9.8011 10738.5034 1645639421441.9521 1463334013826.2329
     460  822819710734.11694 548546473829.8001 490420070849.5152  -10.5833 10271.1519 1645639421432.2358 1471260335896.0693
     480  822819710734.22900 548546473829.7310 492842004307.0262  -10.3676 9842.7519 1645639421435.0996 1478526131126.8296
     500  822819710734.74670 548546473830.1990 495070183087.9415  -10.5518 9448.6364 1645639421434.1414 1485210662739.2998
Average temperature=495070183087.941467 (59111379860700.210938 K)
Average pressure=1485210662739.299805
Diffusion constant from vel autocorr=851324437613.380249 (reduced units)
Diffusion constant from vel autocorr=45767201766095.320312 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.029 minutes
Total run time=0.033 minutes
